x_aff,y_aff
1491.2481689453125,1054.6859130859375
1549.48681640625,1052.5928955078125
1819.72216796875,1017.0247802734375
2323.849609375,847.7244873046875
2363.0,856.1436767578125
2363.0,850.3650512695312
2363.0,811.7207641601562
2363.0,809.10791015625
2363.0,808.9593505859375
2363.0,835.6744995117188
2363.0,440.9608459472656
2363.0,0.0
2363.0,0.0
2363.0,0.0
2363.0,0.0
2363.0,0.0
2363.0,0.0
2363.0,0.0
2363.0,0.0
2363.0,0.0
1526.854736328125,0.0
901.4893798828125,318.55316162109375
1015.9274291992188,210.98008728027344
1094.828369140625,285.7352294921875
1177.896484375,307.1529541015625
1191.4410400390625,353.77923583984375
